Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
8/27/2018 13:54:50,LSTNYT,5'9 because then I could model,Tokyo,"Prince dead, living Miguel",Spain,5,pizza,Gymnastics,daiquiri,5,More,"Future, no options for me in the past",Treat yo self
8/27/2018 14:11:00,MJ,5 foot 9. I am 5 foot 7,LA,Bruce Lee,Normandy,3,no opinion,Basketball,hors d'oeuvre,2,Less,2050,"Accept it is to be liberated from it, when tomorrow comes, you must free your ambitious mind and learn the art of dying.   Bruce Lee"
8/27/2018 14:14:23,Il Volo,"5'2""",Chicago,Dmitri Shostakovich,"Vienna, Austria",4,pizza,Hockey,hors d'oeuvre,3,Less,1919,"Relatable composer quote from Richard Strauss: ""I may not be a first-rate composer, but I am a first-class second-rate composer."""
8/27/2018 14:26:51,Jon Belllion,"6'1""","Bar Harbor, ME",Theodore Roosevelt ,New Zealand,4,pizza,Football ,hors d'oeuvre,4,Less,1776,"""Good leaders don't make excuses. Instead, they figure out a way to get things done."" Jocko Willink"
8/27/2018 15:05:00,Queen,1.7m,Shanghai,Konosuke Matsushita,Austrailia,4,casserole,Soccer,hors d'oeuvre,3,Less,1985,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine."
8/27/2018 15:20:50,"The Hives are my first favorite, but I also love Post Malone.","I'm already a bit over six feet tall, so I'm pretty content with it.","Nashville, TN or Edinburgh, Scottland",David Bowie,"Tokyo, Japan",5,casserole,Hockey because of the fights! (I know that makes me a bad person),hors d'oeuvre,3,Less,1999 so I could go around saying that I'm from the future and tell everyone that Y2K is very real and will definitely destroy the entire universe. ,"""JUST DO IT!!!"" - Shia Labeouf"
8/27/2018 15:25:53,Camila Cabello,"5'8""","Tokyo, Japan",Cleopatra,Greece,5,pizza,,hors d'oeuvre,5,More,"300 BC Greece, but only for a day bc no ac or plumbing","Two roads diverged in a wood, and I—
I took the one less traveled by,
And that has made all the difference. (Robert Frost, The Road Not Taken)"
8/27/2018 15:30:03,Kanye West,6'4,Barcelona,Elon Musk,Hawaii,5,pizza,Football,hors d'oeuvre,5,Less,1954,"Let me tell you something you already know. The world ain't all sunshine and rainbows. It is a very mean and nasty place and it will beat you to your knees and keep you there permanently if you let it. You, me, or nobody is gonna hit as hard as life. But it ain't how hard you hit; it's about how hard you can get hit, and keep moving forward. How much you can take, and keep moving forward. That's how winning is done. Now, if you know what you're worth, then go out and get what you're worth. But you gotta be willing to take the hit, and not pointing fingers saying you ain't where you are because of him, or her, or anybody. Cowards do that and that ain't you. You're better than that."
8/27/2018 15:52:00,Rock,6'0'',Honolulu,,"Great Barrier Reef, Australia",4,pizza,Baseball,hors d'oeuvre,4,Less,2300,You can't cross the sea merely by standing and staring at the water.
8/27/2018 16:14:44,Kendrick Lamar,5'8,Tokyo,Vladimir Lenin,Iceland,5,pizza,Soccer,hors d'oeuvre,3,Less,1985,"""If every porkchop were perfect, we wouldn't have hotdogs."""
